text,cleaned text
“That kind of blame keeps some of us from seeking care.”,That kind of blame keeps some of us from seeking care.
“People act like diabetes is a punishment for being lazy or eating badly. That kind of blame keeps some of us from seeking care.”,People act like diabetes is a punishment for being lazy or eating badly. That kind of blame keeps some of us from seeking care.
"“A doctor once told me, ‘Well, it’s your own fault.’ I walked out in tears and avoided follow‑up appointments for months.”","A doctor once told me, ‘Well, it’s your own fault.’ I walked out in tears and avoided follow‑up appointments for months."
“My friend said diabetes was self‑inflicted; I stopped talking about my diagnosis after that.”,My friend said diabetes was self‑inflicted; I stopped talking about my diagnosis after that.
“People act like diabetes is a punishment for being lazy or eating badly.”,People act like diabetes is a punishment for being lazy or eating badly.
"“Diabetes has an image problem: It’s typically represented in the media by images of overweight people and sugary drinks, ignoring other risk factors.”","Diabetes has an image problem: It’s typically represented in the media by images of overweight people and sugary drinks, ignoring other risk factors."
“Persistently high blood sugar can be an indirect outcome of stigma‑driven distress.”,Persistently high blood sugar can be an indirect outcome of stigma‑driven distress.
“Media stories often focus on blaming people with diabetes for developing their condition and complications.”,Media stories often focus on blaming people with diabetes for developing their condition and complications.
"“Harmful language alienates and isolates, affecting self‑care and even the attitudes of health professionals.”","Harmful language alienates and isolates, affecting self‑care and even the attitudes of health professionals."
“I used to hide my diabetes from boyfriends because I thought no one wanted a ‘sick girlfriend.’”,I used to hide my diabetes from boyfriends because I thought no one wanted a ‘sick girlfriend.’
"“I have had medical professionals say, ‘Well, it’s your own fault.’”","I have had medical professionals say, ‘Well, it’s your own fault.’"
"“I felt so ashamed to have diabetes that I didn’t tell anyone, not even my husband.”","I felt so ashamed to have diabetes that I didn’t tell anyone, not even my husband."
“Diabetes stigma can lead to developing poor self‑esteem.”,Diabetes stigma can lead to developing poor self‑esteem.
“Some people conceal their condition and avoid social activities because of stigma.”,Some people conceal their condition and avoid social activities because of stigma.
“Negative judgments may cause people to skip medication or monitoring.”,Negative judgments may cause people to skip medication or monitoring.
"“Common words like ‘compliant’, ‘control’, and ‘failure’ create a negative emotional relationship for people with their diabetes.”","Common words like ‘compliant’, ‘control’, and ‘failure’ create a negative emotional relationship for people with their diabetes."
“Self‑stigma can foster unhealthy attitudes toward insulin use.”,Self‑stigma can foster unhealthy attitudes toward insulin use.
“People act like diabetes is a punishment for being lazy or eating badly.”,People act like diabetes is a punishment for being lazy or eating badly.
"“My peers were really uneducated about what diabetes is, so they just said ignorant things,”“My peers were really uneducated about what diabetes is, so they just said ignorant things,”","My peers were really uneducated about what diabetes is, so they just said ignorant things,My peers were really uneducated about what diabetes is, so they just said ignorant things,"
“So I was kind of closed off. I was still in denial. I just didn’t want anyone to know. I felt embarrassed by it.”,So I was kind of closed off. I was still in denial. I just didn’t want anyone to know. I felt embarrassed by it.
“If you drink too much Coca-Cola you will get diabetes. So stop drinking Coca-Cola.” ,If you drink too much Coca-Cola you will get diabetes. So stop drinking Coca-Cola. 
"""If you are taking insulin, you may have to go into some private place, you won’t take it in front of everyone. ""","If you are taking insulin, you may have to go into some private place, you won’t take it in front of everyone. "
"Whoa, really, you are quite young and you are having diabetes.”","Whoa, really, you are quite young and you are having diabetes."
“So how many times do you take insulin?”,So how many times do you take insulin?
“I have one solution for you that will stop your insulin.”,I have one solution for you that will stop your insulin.
“Do you have the bad kind of diabetes?”,Do you have the bad kind of diabetes?
"“Sure, sure, but if they stopped eating so much sugar, their diabetes would go away.”","Sure, sure, but if they stopped eating so much sugar, their diabetes would go away."
“But you don’t LOOK like you have diabetes!”,But you don’t LOOK like you have diabetes!
“You can’t eat that!”,You can’t eat that!
"“Diabetes doesn’t run in their family, no one runs in their family LOL”","Diabetes doesn’t run in their family, no one runs in their family LOL"
“Oh you have diabetes? My grandfather lost his foot because of diabetes.”,Oh you have diabetes? My grandfather lost his foot because of diabetes.
“Only fat people get diabetes!”,Only fat people get diabetes!
“I bet you regret all that candy you ate as a kid.”,I bet you regret all that candy you ate as a kid.
"“Oh yeah my grandma has that, she doesn’t really take care of it though.”","Oh yeah my grandma has that, she doesn’t really take care of it though."
“We’ll show you how to reverse diabetes now!”,We’ll show you how to reverse diabetes now!
"If I start insulin, it means I’ve failed at managing my diabetes.”","If I start insulin, it means I’ve failed at managing my diabetes."
"“If you don’t follow my instructions and get your blood sugar under control, you’ll need to go on insulin.” ","If you don’t follow my instructions and get your blood sugar under control, you’ll need to go on insulin. "
"Here in Sweden there is still a fair amount of the old worldview that type 2 diabetes is said to be the disease of the “fat and lazy.” Beyond the general population believing this, when it comes to health treatment, some doctors don’t consider family history, genetic predisposition, other possible causes, or lingering and underlying diseases. Instead, many simply state, “You’re fat and that’s a disease that costs much to the government—lose weight!”","Here in Sweden there is still a fair amount of the old worldview that type 2 diabetes is said to be the disease of the fat and lazy. Beyond the general population believing this, when it comes to health treatment, some doctors don’t consider family history, genetic predisposition, other possible causes, or lingering and underlying diseases. Instead, many simply state, You’re fat and that’s a disease that costs much to the government—lose weight!"
"Friends start looking at you differently, and one even risks losing a job as did a 24 year old Swedish young lady years ago, when a potential employer at an interview said, “I can already tell that you’re going to be absent a lot. Your being overweight will cause you to be sitting around eating candy… You have the right qualifications, but…”","Friends start looking at you differently, and one even risks losing a job as did a 24 year old Swedish young lady years ago, when a potential employer at an interview said, I can already tell that you’re going to be absent a lot. Your being overweight will cause you to be sitting around eating candy… You have the right qualifications, but…"
"When I was diagnosed with type 2 diabetes, I was in the best shape of my life. Six pack, all of that, and working out twice a day. The stigma around people living with type 2 diabetes is that they are often overweight or they don’t work out, exercise, they don’t move. Every time I talk to someone about diabetes, they always assume that I just have type 1 and not type 2. The stigma around that, it’s great for me to come from this perspective, because I can let people know that’s not the case. A lot of those behaviors that cause type 2 diabetes aren’t because of a person is just lazy or not doing the things necessary to be healthy, but a lot of things we learned growing up or just learned behaviors. You don’t ever realize that it’s not the right way to manage your health.","When I was diagnosed with type 2 diabetes, I was in the best shape of my life. Six pack, all of that, and working out twice a day. The stigma around people living with type 2 diabetes is that they are often overweight or they don’t work out, exercise, they don’t move. Every time I talk to someone about diabetes, they always assume that I just have type 1 and not type 2. The stigma around that, it’s great for me to come from this perspective, because I can let people know that’s not the case. A lot of those behaviors that cause type 2 diabetes aren’t because of a person is just lazy or not doing the things necessary to be healthy, but a lot of things we learned growing up or just learned behaviors. You don’t ever realize that it’s not the right way to manage your health."
"When I was originally diagnosed, because I was a little overweight, they automatically thought that I was type 2. That, along with the color of my skin, those two things, as well as my age, right? When people meet me, they automatically assume that I am type 2. Back in February, me and two of my girlfriends were at a conference, and a woman said to us, “Oh, you guys are here? Do you have type 2?” And we were like, “Nope, we’re all type 1.” I’ve dealt with that personally, where people just automatically assume that I’m type 2 because of my weight. All type 1s aren’t small, we all come in different shapes and sizes.","When I was originally diagnosed, because I was a little overweight, they automatically thought that I was type 2. That, along with the color of my skin, those two things, as well as my age, right? When people meet me, they automatically assume that I am type 2. Back in February, me and two of my girlfriends were at a conference, and a woman said to us, Oh, you guys are here? Do you have type 2? And we were like, Nope, we’re all type 1. I’ve dealt with that personally, where people just automatically assume that I’m type 2 because of my weight. All type 1s aren’t small, we all come in different shapes and sizes."
"90 percent of my family has type 2 diabetic. I grew up seeing that, seeing my family members not necessarily take care of themselves. As a Mexican, it’s not really in our culture to talk about health, to really take care of ourselves. I always saw it as, “It is what it is, you’re doomed. Once you’re diagnosed, it’s downhill from there, so why even try?” That image of type 2 diabetics being lazy, not caring, not working out was something I actually lived and was ingrained in me. When I was diagnosed, it really messed with my mindset because I thought, “Well now I’m one of them, now I’m destined to be overweight, inactive.”","90 percent of my family has type 2 diabetic. I grew up seeing that, seeing my family members not necessarily take care of themselves. As a Mexican, it’s not really in our culture to talk about health, to really take care of ourselves. I always saw it as, It is what it is, you’re doomed. Once you’re diagnosed, it’s downhill from there, so why even try? That image of type 2 diabetics being lazy, not caring, not working out was something I actually lived and was ingrained in me. When I was diagnosed, it really messed with my mindset because I thought, Well now I’m one of them, now I’m destined to be overweight, inactive."
“I was told real men don't need insulin pumps.”,I was told real men dont need insulin pumps.
"“Even among other diabetics, there’s judgement about using technology versus injections.”","Even among other diabetics, there’s judgement about using technology versus injections."
“Negative experiences create a barrier to disclosing my disease; I fear ridicule or ostracism.”,Negative experiences create a barrier to disclosing my disease; I fear ridicule or ostracism.
“I have heard people react in shock when I share that I’m diabetic: ‘But you aren’t fat!’”,I have heard people react in shock when I share that I’m diabetic: ‘But you aren’t fat!’
"“People say, ‘Should you be eating that?’ or ‘Were you overweight before your diagnosis?’ These comments make me hesitant to share my journey for fear of ridicule.”","People say, ‘Should you be eating that?’ or ‘Were you overweight before your diagnosis?’ These comments make me hesitant to share my journey for fear of ridicule."
“I hid my diabetes devices under my clothes so people wouldn’t stare.”,I hid my diabetes devices under my clothes so people wouldn’t stare.
“Doctors can be the ones inflicting blame and shame when they don’t like the numbers.”,Doctors can be the ones inflicting blame and shame when they don’t like the numbers.
“Comments about weight perpetuate the wrong idea of what diabetes is supposed to look like.”,Comments about weight perpetuate the wrong idea of what diabetes is supposed to look like.
“I cover my glucose monitor because I’m tired of strangers staring.”,I cover my glucose monitor because I’m tired of strangers staring.
"“Sometimes people ask, ‘Should you be eating that?’ or assume I was overweight before my diagnosis.”","Sometimes people ask, ‘Should you be eating that?’ or assume I was overweight before my diagnosis."
"“Teachers and coworkers often take an infantilizing approach, telling me what I should and shouldn’t eat.”","Teachers and coworkers often take an infantilizing approach, telling me what I should and shouldn’t eat."
“I kept my diagnosis secret at work because I didn’t want people thinking I did this to myself.”,I kept my diagnosis secret at work because I didn’t want people thinking I did this to myself.
“Family prefer to believe herbal tea can cure me rather than accept lifelong treatment.”,Family prefer to believe herbal tea can cure me rather than accept lifelong treatment.
“I kept my diagnosis secret at work because I didn’t want people thinking I did this to myself.”,I kept my diagnosis secret at work because I didn’t want people thinking I did this to myself.
"After 17 years of living with type 1 diabetes, I decided the moment had come to try and make a difference for other people living with diabetes. Until that point, most people who interacted with me did not realise that I was living with a chronic and potentially very serious health condition. In the main, this was because I did not want them to know. I have a passion for football. I have strived to play it at the highest possible level and it has had a central role in my life. Yet the sport I love heavily influenced my decision to keep my diabetes hidden.","After 17 years of living with type 1 diabetes, I decided the moment had come to try and make a difference for other people living with diabetes. Until that point, most people who interacted with me did not realise that I was living with a chronic and potentially very serious health condition. In the main, this was because I did not want them to know. I have a passion for football. I have strived to play it at the highest possible level and it has had a central role in my life. Yet the sport I love heavily influenced my decision to keep my diabetes hidden."
"Football can be an unforgiving sport in which perfection is celebrated and weakness often frowned upon. The sport encouraged me to hide my diabetes because, whether I liked it or not, the condition has stigma attached to it that can lead to negative, misguided perceptions that a person with diabetes is weak, somehow less able than others. The masculine, macho culture embedded in football from the top down to grass roots-level pushes players to mask anything that could be perceived as a weakness by players, coaches, fans or the media.","Football can be an unforgiving sport in which perfection is celebrated and weakness often frowned upon. The sport encouraged me to hide my diabetes because, whether I liked it or not, the condition has stigma attached to it that can lead to negative, misguided perceptions that a person with diabetes is weak, somehow less able than others. The masculine, macho culture embedded in football from the top down to grass roots-level pushes players to mask anything that could be perceived as a weakness by players, coaches, fans or the media."
I carried this negative feeling around with me like extra baggage. It may have weighed me down but I also took it as a motivation to achieve as much as I could and push past people’s perceptions of what is possible with a chronic condition. I knew that one day I wanted to do something to help ensure that other people with type 1 diabetes would not have to suffer in silence with the kind of feelings I’d had to cope with.,I carried this negative feeling around with me like extra baggage. It may have weighed me down but I also took it as a motivation to achieve as much as I could and push past people’s perceptions of what is possible with a chronic condition. I knew that one day I wanted to do something to help ensure that other people with type 1 diabetes would not have to suffer in silence with the kind of feelings I’d had to cope with.
"When my Mayha was diagnosed with diabetes, I was anxious. After one month I decided to fight back with knowledge and learned so much about her diabetes. I’m reading about diabetes every day and I make all efforts to help her accept her diabetes well. Today she knows insulin is her friend and she uses it comfortably.”","When my Mayha was diagnosed with diabetes, I was anxious. After one month I decided to fight back with knowledge and learned so much about her diabetes. I’m reading about diabetes every day and I make all efforts to help her accept her diabetes well. Today she knows insulin is her friend and she uses it comfortably."
“We try to accept her diabetes.  Diabetes made us change our way of life.”,We try to accept her diabetes.  Diabetes made us change our way of life.
"“A family member joked about me ending up in a coma because of dessert, and everyone laughed except me.”","A family member joked about me ending up in a coma because of dessert, and everyone laughed except me."
“A boss told me to keep my pump ‘out of sight’ so customers wouldn't worry.”,A boss told me to keep my pump ‘out of sight’ so customers wouldnt worry.
“Someone joked my wedding cake slice would come with an insulin shot on the side.”,Someone joked my wedding cake slice would come with an insulin shot on the side.
“Hurtful comments make many people avoid getting tested; they’d rather not know than be judged.”,Hurtful comments make many people avoid getting tested; they’d rather not know than be judged.
"“Someone in my family joked, ‘Put down that cake before you end up in a coma.’ Everyone laughed but it hurt me deeply.”","Someone in my family joked, ‘Put down that cake before you end up in a coma.’ Everyone laughed but it hurt me deeply."
"“She said, ‘Girl, you better put down that cake. We don't want to end up in the hospital with you in a coma.’ People laughed, but it really wasn't funny and it was hurtful.”","She said, ‘Girl, you better put down that cake. We dont want to end up in the hospital with you in a coma.’ People laughed, but it really wasnt funny and it was hurtful."
“What did you eat that gave you diabetes?”,What did you eat that gave you diabetes?
"“Nearly ten years ago my life changed dramatically when I was diagnosed with type 1 diabetes,”","Nearly ten years ago my life changed dramatically when I was diagnosed with type 1 diabetes,"
"“Since then, I learned how to manage and live well with this disease and made it my mission to speak openly about it with the hope of helping others deal with the struggles of managing diabetes in their own life.”","Since then, I learned how to manage and live well with this disease and made it my mission to speak openly about it with the hope of helping others deal with the struggles of managing diabetes in their own life."
"“Although it’s been difficult to deal with the misinformation out there, I always found a way to not let the lack of knowledge surrounding diabetes affect me, I can’t do it anymore.”","Although it’s been difficult to deal with the misinformation out there, I always found a way to not let the lack of knowledge surrounding diabetes affect me, I can’t do it anymore."
"“Living with type 1 practically my whole life, I have always wanted to erase the black cloud and the stigma that goes along with the word ‘diabetes,'”","Living with type 1 practically my whole life, I have always wanted to erase the black cloud and the stigma that goes along with the word ‘diabetes,"
"“It is a way of life for me, not a hindrance but a lens through which I see the world and it’s important to not only educate but really celebrate the people affected.”","It is a way of life for me, not a hindrance but a lens through which I see the world and it’s important to not only educate but really celebrate the people affected."
"“We have a long way to go in the education of both type 1 and type 2 diabetes, and in that lack of knowledge is the even harsher reality that we are still very far from a cure,”","We have a long way to go in the education of both type 1 and type 2 diabetes, and in that lack of knowledge is the even harsher reality that we are still very far from a cure,"
"“I am confident we will get there someday, but it will take a lot of people doing what they can to help. We are strong together.”","I am confident we will get there someday, but it will take a lot of people doing what they can to help. We are strong together."
"“If you want to do Ozempic, hell yeah, girl. I want people to feel more comfortable talking about doing it, because I feel like there’s, like, this shame — and the shame is only from thin people who want you to stay fat. Like that's really where it's coming from.""","If you want to do Ozempic, hell yeah, girl. I want people to feel more comfortable talking about doing it, because I feel like there’s, like, this shame — and the shame is only from thin people who want you to stay fat. Like thats really where its coming from."
"""They are so mad that you're getting thin now, because that's all they have, right? They are so mad, but they can't say it. They just go, ‘No! You’re stealing medicine from diabetics who need it.’ Like, that’s their excuse,”","They are so mad that youre getting thin now, because thats all they have, right? They are so mad, but they cant say it. They just go, ‘No! You’re stealing medicine from diabetics who need it.’ Like, that’s their excuse,"
"“It's suddenly all these thin, white women are like 'diabetics need their meds.’ No, I think you’re upset that Kathy Bates has a thigh gap. That’s more what it could be about, I think.”","Its suddenly all these thin, white women are like diabetics need their meds.’ No, I think you’re upset that Kathy Bates has a thigh gap. That’s more what it could be about, I think."
"“I have no problem with that. You gotta do it subtly. You have to do it so they go, ‘What’s she doing?’ And you can go, ‘Just meditating more,’”","I have no problem with that. You gotta do it subtly. You have to do it so they go, ‘What’s she doing?’ And you can go, ‘Just meditating more,’"
"“I think it’s a wise investment. There’s kind of a stigma around getting face work or investing in your beauty and doing all these procedures. And there’s maybe a little bit of sadness to it, but I kinda also am like well, it makes my life better. People treat you better when you’re hotter. It’s just a fact. It’s a sad fact of life.”","I think it’s a wise investment. There’s kind of a stigma around getting face work or investing in your beauty and doing all these procedures. And there’s maybe a little bit of sadness to it, but I kinda also am like well, it makes my life better. People treat you better when you’re hotter. It’s just a fact. It’s a sad fact of life."
"“That’s what they say, you know. I’m drinking more water. I’m just working on my gut health so my brow has been lowered two inches.”","That’s what they say, you know. I’m drinking more water. I’m just working on my gut health so my brow has been lowered two inches."
"“He called me ‘diabetic’ instead of my name during rounds, like the disease defined me.”","He called me ‘diabetic’ instead of my name during rounds, like the disease defined me."
“My diagnosis paperwork described me as ‘non‑compliant’ before I even had my first appointment.”,My diagnosis paperwork described me as ‘non‑compliant’ before I even had my first appointment.
“Parents of other kids banned me from sleepovers because of my diabetes.”,Parents of other kids banned me from sleepovers because of my diabetes.
“That statement shows how blame and shame surround this disease.”,That statement shows how blame and shame surround this disease.
“She asked if it could be type 1 instead of type 2 because then people wouldn’t think it was her fault.”,She asked if it could be type 1 instead of type 2 because then people wouldn’t think it was her fault.
“She asked if it could be type 1 because then people wouldn't blame her.”,She asked if it could be type 1 because then people wouldnt blame her.
“I felt so ashamed I hid my insulin pen in the restroom rather than inject at the dinner table.”,I felt so ashamed I hid my insulin pen in the restroom rather than inject at the dinner table.
“Peers at school called my pump a robot and said I must be contagious.”,Peers at school called my pump a robot and said I must be contagious.
"“When you add other people’s comments and behaviours, it can be an additional drain, making people feel judged.”","When you add other people’s comments and behaviours, it can be an additional drain, making people feel judged."
“Someone told me diabetes was my punishment for not taking care of myself.”,Someone told me diabetes was my punishment for not taking care of myself.
“My teacher announced my condition to the class without my permission; I felt exposed.”,My teacher announced my condition to the class without my permission; I felt exposed.
“The phrase ‘Are you allowed to eat that?’ is like a broken record.”,The phrase ‘Are you allowed to eat that?’ is like a broken record.
“A stranger in the coffee queue told me I shouldn't drink latte because of my ‘sugar disease.’”,A stranger in the coffee queue told me I shouldnt drink latte because of my ‘sugar disease.’
“I keep snacks hidden because people judge anything sweet in my hands.”,I keep snacks hidden because people judge anything sweet in my hands.
"“Coworkers turned into the ‘diabetes police’, criticising everything I ate in the break room.”","Coworkers turned into the ‘diabetes police’, criticising everything I ate in the break room."
“I felt ashamed begging the doctor to let me eat an extra cup of broccoli during pregnancy.”,I felt ashamed begging the doctor to let me eat an extra cup of broccoli during pregnancy.
“I’m tired of people personifying sweets as ‘diabetes’ like it’s a joke.”,I’m tired of people personifying sweets as ‘diabetes’ like it’s a joke.
"“Being diagnosed young, classmates teased me and said my body was broken.”","Being diagnosed young, classmates teased me and said my body was broken."
“A recruiter rejected me after the medical exam flagged high glucose.”,A recruiter rejected me after the medical exam flagged high glucose.
“Family gossip kept my diagnosis secret for decades; they feared what neighbours would say.”,Family gossip kept my diagnosis secret for decades; they feared what neighbours would say.
"“A friend said, ‘You’re just using diabetes to get attention.’”","A friend said, ‘You’re just using diabetes to get attention.’"
“An endocrinologist walked me toward bariatric surgery before even discussing treatment options.”,An endocrinologist walked me toward bariatric surgery before even discussing treatment options.
“People think diabetes is contagious; a girl once refused to date me because of it.”,People think diabetes is contagious; a girl once refused to date me because of it.
“Relatives said marriage would be hard because I need insulin injections.”,Relatives said marriage would be hard because I need insulin injections.
“My coach benched me because he thought diabetes made me weak.”,My coach benched me because he thought diabetes made me weak.
“I hate being policed for every bite I take just because I’m diabetic.”,I hate being policed for every bite I take just because I’m diabetic.
“Online strangers told me I must have caused my diabetes by eating sugar.”,Online strangers told me I must have caused my diabetes by eating sugar.
“Some students laughed and called my finger‑pricker a drug needle.”,Some students laughed and called my finger‑pricker a drug needle.
“The bouncer dumped my test strips on the ground because he didn’t believe they were medical supplies.”,The bouncer dumped my test strips on the ground because he didn’t believe they were medical supplies.
“My doctor said I didn’t ‘look like’ someone with diabetes and it made me feel like a fraud.”,My doctor said I didn’t ‘look like’ someone with diabetes and it made me feel like a fraud.
"“On Instagram, other diabetics judge my food choices saying I’m ‘trying to kill myself.’”","On Instagram, other diabetics judge my food choices saying I’m ‘trying to kill myself.’"
“A nurse told me to just ‘get my diabetes under control’ as if it were that simple.”,A nurse told me to just ‘get my diabetes under control’ as if it were that simple.
“I was made to wear a jacket to hide my pump at work while others wore short sleeves.”,I was made to wear a jacket to hide my pump at work while others wore short sleeves.
“I delayed going to the doctor because I feared being blamed for my weight.”,I delayed going to the doctor because I feared being blamed for my weight.
“I left feeling blamed instead of helped.”,I left feeling blamed instead of helped.
“Weight stigma in the clinic meant every appointment focused on dieting not on my blood sugar.”,Weight stigma in the clinic meant every appointment focused on dieting not on my blood sugar.
“Weight stigma in diabetes care meant every appointment was a lecture on dieting rather than a discussion about glucose levels.”,Weight stigma in diabetes care meant every appointment was a lecture on dieting rather than a discussion about glucose levels.
“The nurse assumed I knew nothing because I was fat; she never asked about my marathon training.”,The nurse assumed I knew nothing because I was fat; she never asked about my marathon training.
“I skip office birthday cake just to avoid comments about sugar.”,I skip office birthday cake just to avoid comments about sugar.
“You can’t tell someone’s health by looking at them.”,You can’t tell someone’s health by looking at them.
"“At the clinic, a sign said ‘Lose weight, beat diabetes’ – it felt like a slap in the face.”","At the clinic, a sign said ‘Lose weight, beat diabetes’ – it felt like a slap in the face."
“In medical school I heard students say that patients with type 2 diabetes ‘just need to lose weight.’ Hearing future doctors speak that way was shocking.”,In medical school I heard students say that patients with type 2 diabetes ‘just need to lose weight.’ Hearing future doctors speak that way was shocking.
"""I felt guilty in the early days for the first, probably 10 to 15 years, I felt guilty because it was my fault.""","I felt guilty in the early days for the first, probably 10 to 15 years, I felt guilty because it was my fault."
"""I thought then, and I still think now, that there is still somehow a feeling of stigma attached to getting type 2 diabetes because you feel it’s your fault and you did it to yourself, so initially I was very upset.?""","I thought then, and I still think now, that there is still somehow a feeling of stigma attached to getting type 2 diabetes because you feel it’s your fault and you did it to yourself, so initially I was very upset.?"
"""Their appearance might be fat, they might look unhealthy and, when they’re applying for jobs or trying to interact socially that might be the main reason they’ve got a stigma rather than the diabetes.""","Their appearance might be fat, they might look unhealthy and, when they’re applying for jobs or trying to interact socially that might be the main reason they’ve got a stigma rather than the diabetes."
"""The dietician was awful…she asked me if I exercise and I
said ‘I do the gym twice a week and I have consistently
since November’ ‘that’s not enough, you need to go five
times a week’…this makes me really angry. ""","The dietician was awful…she asked me if I exercise and I
said ‘I do the gym twice a week and I have consistently
since November’ ‘that’s not enough, you need to go five
times a week’…this makes me really angry. "
"‘At a job interview, interviewers said that their company would find it rather difficult to hire someone with diabetes. They said then and there that diabetes was a disadvantage, and so that was that.’","‘At a job interview, interviewers said that their company would find it rather difficult to hire someone with diabetes. They said then and there that diabetes was a disadvantage, and so that was that.’"
‘The stereotypical image of diabetics held by society is that we have shorter lives and cannot do our jobs well. I personally don’t have a very positive image of diabetes.’,‘The stereotypical image of diabetics held by society is that we have shorter lives and cannot do our jobs well. I personally don’t have a very positive image of diabetes.’
"‘I’ve often felt that if people at work find out about my condition, I might be seen as someone who can’t take on any important responsibilities. I’d feel threatened, like I was being treated unfairly or being undervalued because of my diabetes.’","‘I’ve often felt that if people at work find out about my condition, I might be seen as someone who can’t take on any important responsibilities. I’d feel threatened, like I was being treated unfairly or being undervalued because of my diabetes.’"
"‘I’m alone all day every day. I’m beyond lonely. I feel completely isolated from society. I feel like my life is over because of my illness. However, when I’m in the hospital, I have the opportunity to talk to many different people. It makes for a pleasant change for me’.","‘I’m alone all day every day. I’m beyond lonely. I feel completely isolated from society. I feel like my life is over because of my illness. However, when I’m in the hospital, I have the opportunity to talk to many different people. It makes for a pleasant change for me’."
‘Every day I go to a local grocery store just to talk to the people working there. This is the only time I get to talk to other people. I enjoy it because they care about me and advise me not to eat too many sugary foods. This makes me feel good. I voluntarily told them I have diabetes’.,‘Every day I go to a local grocery store just to talk to the people working there. This is the only time I get to talk to other people. I enjoy it because they care about me and advise me not to eat too many sugary foods. This makes me feel good. I voluntarily told them I have diabetes’.
"‘I can’t tell my staff that I have type 2 diabetes. If I did, they would think that our company would become bankrupt, and so they would leave it. Diabetes is one of those illnesses that give other people anxiety. Whenever I need to go to the hospital, I just tell them I’ve got a cold or something. It’s better just to lie like that’. ","‘I can’t tell my staff that I have type 2 diabetes. If I did, they would think that our company would become bankrupt, and so they would leave it. Diabetes is one of those illnesses that give other people anxiety. Whenever I need to go to the hospital, I just tell them I’ve got a cold or something. It’s better just to lie like that’. "
‘I can’t help thinking that I’ll never be able to work as a regular full-time employee’.,‘I can’t help thinking that I’ll never be able to work as a regular full-time employee’.
"‘Because of my diabetes, I don’t think I can get married. Wouldn’t having diabetes be an obstacle to marriage, especially for my partner? It’s hard enough telling her that I have diabetes’.","‘Because of my diabetes, I don’t think I can get married. Wouldn’t having diabetes be an obstacle to marriage, especially for my partner? It’s hard enough telling her that I have diabetes’."
"‘I don’t have any diabetes-related complications yet. However, despite this I quit my job. I used to work for a call center, which involved sitting at a desk all day long. This working environment really raised my blood sugar levels. Because of exactly this I stopped working to really focus on my treatment. Health is more important than work, right?! I wish to get another type of job once I have improved my condition’.","‘I don’t have any diabetes-related complications yet. However, despite this I quit my job. I used to work for a call center, which involved sitting at a desk all day long. This working environment really raised my blood sugar levels. Because of exactly this I stopped working to really focus on my treatment. Health is more important than work, right?! I wish to get another type of job once I have improved my condition’."
"‘There is some prejudice toward people with type 2 diabetes in the workplace. The possibility that someone at work could find out that I have diabetes scares me. If that happened, some parents would call the school board asking if it’s okay for someone with diabetes to continue to work as a school principle’. ","‘There is some prejudice toward people with type 2 diabetes in the workplace. The possibility that someone at work could find out that I have diabetes scares me. If that happened, some parents would call the school board asking if it’s okay for someone with diabetes to continue to work as a school principle’. "
"‘As long as I work, I would like to act the same way normal people do, I mean, healthy people. I don’t feel like I am disabled while working with them. Because I have diabetes, I can’t work as much? I don’t want to tell them such things! I also don’t want them to see me like that either’.","‘As long as I work, I would like to act the same way normal people do, I mean, healthy people. I don’t feel like I am disabled while working with them. Because I have diabetes, I can’t work as much? I don’t want to tell them such things! I also don’t want them to see me like that either’."
‘I don’t want people at work to see me as less hard-working’. ,‘I don’t want people at work to see me as less hard-working’. 
"""I don’t want anyone to see the medication. I don’t like taking it in front of anyone. For me, the biggest problem is when I go to a business dinner. Then, I find it really difficult to find the time to take my medication. In that situation, I don’t take it. It’s really important to me that no one sees me taking my medication, so skipping it doesn’t bother me’.","I don’t want anyone to see the medication. I don’t like taking it in front of anyone. For me, the biggest problem is when I go to a business dinner. Then, I find it really difficult to find the time to take my medication. In that situation, I don’t take it. It’s really important to me that no one sees me taking my medication, so skipping it doesn’t bother me’."
"‘It is said that diabetes is a “luxury disease” caused by laziness, and so this always seems to be the main focus of personal criticism.’","‘It is said that diabetes is a luxury disease caused by laziness, and so this always seems to be the main focus of personal criticism.’"
"‘To me, diabetes is a real burden. I want to rid myself of this illness. I have often been told that it’s not curable, so I need to think about how I can live with it for the rest of my life. I wish it would disappear.’","‘To me, diabetes is a real burden. I want to rid myself of this illness. I have often been told that it’s not curable, so I need to think about how I can live with it for the rest of my life. I wish it would disappear.’"
"“You said the word: failing. It's touching me too because I think that I'm also failing because when I don't follow my diet, when I don't eat right and I know better.”","You said the word: failing. Its touching me too because I think that Im also failing because when I dont follow my diet, when I dont eat right and I know better."
"“It makes me depressed when I think I'm not doing what I need to do, when I eat the wrong plate of food, ‘look what I did to myself!’ Now, I'm going to feel sick. Sometimes I feel nauseous. I get low in energy and okay, I didn't do it the right way, now look at the outcome.”","It makes me depressed when I think Im not doing what I need to do, when I eat the wrong plate of food, ‘look what I did to myself!’ Now, Im going to feel sick. Sometimes I feel nauseous. I get low in energy and okay, I didnt do it the right way, now look at the outcome."
"“You say something is wrong, they want to write a freaking prescription. Like, come on!”","You say something is wrong, they want to write a freaking prescription. Like, come on!"
"“You get pushed in, you get pushed out. That's all.”","You get pushed in, you get pushed out. Thats all."
